RestaurantName,ZipCode,InspectionDate,Score,Address,FacilityID,ProcessDescription
CC Wellness,78746,10/19/2017,93,"3801 N CAPITAL OF TEXAS HWY NB Unit D-200
AUSTIN, TX 78746
(30.336731, -97.805146)",11478907,Routine Inspection
Brooklyn Heights Pizzeria,78717,12/20/2017,87,"14900 AVERY RANCH BLVD
AUSTIN, TX 78717
(30.497655, -97.777084)",10101590,Routine Inspection
Bombay Bistro,78759,09/30/2016,78,"10710 RESEARCH BLVD SB
AUSTIN, TX 78759
(30.398661, -97.746468)",2802649,Routine Inspection
Brick Oven Restaurant,78701,04/30/2015,77,"1209 RED RIVER ST
AUSTIN, TX 78701
(30.272695, -97.734924)",2800996,Routine Inspection
Buffalo Wild Wings #620,78752,06/07/2016,85,"7604 N IH 35 SVRD SB
AUSTIN, TX 78752
(30.338146, -97.701473)",11398783,Routine Inspection
CVS/Pharmacy #8387,78749,09/16/2015,92,"3500 W SLAUGHTER LN
AUSTIN, TX 78749
(30.183831, -97.850262)",2804017,Routine Inspection
"Cake and Spoon Baking Co, The",78702,11/10/2015,100,"3008 GONZALES ST
AUSTIN, TX 78702
(30.259374, -97.707114)",10459759,Routine Inspection
"Callaway House Austin, The",78705,02/19/2016,95,"505 W 22ND ST
AUSTIN, TX 78705
(30.285138, -97.743605)",10968230,Routine Inspection
C-Mart #7,78744,09/19/2016,81,"5200 E WILLIAM CANNON DR
AUSTIN, TX 78744
(30.180078, -97.747839)",10003415,Routine Inspection
CVS/Pharmacy #3881,78748,06/01/2017,99,"520 W SLAUGHTER LN
AUSTIN, TX 78748
(30.172264, -97.79917)",10017515,Routine Inspection
Bread Basket,78617,10/27/2017,71,"5200 ROSS RD
AUSTIN, TX 78617
(30.179253, -97.614447)",11654390,Routine Inspection
Canary Roost,78758,02/29/2016,90,"11900 METRIC BLVD Unit D
AUSTIN, TX 78758
(30.400055, -97.703406)",2802031,Routine Inspection
Brodie's Food Mart,78745,09/01/2016,92,"7612 BRODIE LN
AUSTIN, TX 78745
(30.206645, -97.835239)",10549062,Routine Inspection
Bread Basket,78757,05/15/2017,82,"2213 JUSTIN LN
AUSTIN, TX 78757
(30.344978, -97.736664)",2804019,Routine Inspection
Brookdale Northwest Hills,78731,06/07/2016,95,"5715 MESA DR
AUSTIN, TX 78731
(30.34197, -97.769816)",10642406,Routine Inspection
Bufalina,78702,06/25/2015,83,"1519 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.258565, -97.728777)",10959574,Routine Inspection
Bufalina Due LLC,78757,04/27/2017,96,"6555 BURNET RD Unit 100
AUSTIN, TX 78757
(30.341523, -97.738751)",11460194,Routine Inspection
CVS Pharmacy #7442,78753,02/24/2017,99,"11300 N LAMAR BLVD
AUSTIN, TX 78753
(30.382441, -97.686098)",2804009,Routine Inspection
Breaktime Newsstand,78701,07/08/2016,99,"600 CONGRESS AVE Unit G200
AUSTIN, TX 78701
(30.268422, -97.742673)",10434981,Routine Inspection
Bucket's Deli & Sports Bar,78702,05/24/2017,93,"2020 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.256475, -97.722799)",10111403,Routine Inspection
Borderless European Market,78758,07/28/2017,95,"1934 RUTLAND DR
AUSTIN, TX 78758
(30.379356, -97.713251)",11574699,Routine Inspection
Brazos Hall,78701,09/23/2016,96,"204 E 4TH ST
AUSTIN, TX 78701
(30.26574, -97.741883)",11099320,Routine Inspection
Boone Elementary,78749,03/03/2017,99,"8101 CROFTWOOD DR
AUSTIN, TX 78749
(30.20397, -97.840909)",2800267,Routine Inspection
Burger King,78752,04/11/2017,92,"7105 N IH 35 SVRD NB
AUSTIN, TX 78752
(30.332159, -97.703954)",10104313,Routine Inspection
Brew Market and Cafe,78722,07/27/2017,77,"3842 AIRPORT BLVD
AUSTIN, TX 78722
(30.288785, -97.707277)",2803723,Routine Inspection
Bombay Bistro,78704,07/21/2017,71,"4200 S LAMAR BLVD SB Bunit 300
AUSTIN, TX 78704
(30.235244, -97.794812)",10486254,Routine Inspection
Bon Appetit- The Huddle @ St. Edward's,78704,05/04/2016,100,"3001 S CONGRESS AVE
AUSTIN, TX 78704
(30.231903, -97.758818)",10231529,Routine Inspection
Bone Daddy's House of Smoke,78759,11/22/2016,89,"11617 RESEARCH BLVD NB
AUSTIN, TX 78759
(30.415495, -97.74577)",2801756,Routine Inspection
Bodega on Rio,78705,04/29/2016,99,"2101 RIO GRANDE ST
AUSTIN, TX 78705
(30.284234, -97.745023)",10250557,Routine Inspection
Cannon Food Mart,78744,06/05/2015,91,"1719 E WILLIAM CANNON DR
AUSTIN, TX 78744
(30.188906, -97.767163)",2803850,Routine Inspection
Caffe Medici,78701,06/07/2017,97,"804 CONGRESS AVE Unit 101
AUSTIN, TX 78701
(30.270219, -97.742012)",11539957,Routine Inspection
Brookdale Northwest Hills,78731,12/15/2015,95,"5715 MESA DR
AUSTIN, TX 78731
(30.34197, -97.769816)",10642406,Routine Inspection
Brick Oven Restaurant,78759,10/10/2016,89,"10710 RESEARCH BLVD SB Unit 310
AUSTIN, TX 78759
(30.398661, -97.746468)",2800033,Routine Inspection
Braker Food Mart,78753,12/15/2015,92,"11300 N IH 35 SVRD SB
AUSTIN, TX 78753
(30.377615, -97.676198)",10041179,Routine Inspection
Bright Horizons Family Solution,78758,07/18/2017,95,"2411 W BRAKER LN
AUSTIN, TX 78758
(30.390211, -97.717462)",2801497,Routine Inspection
C-Mart #10,78748,07/23/2015,82,"3008 W SLAUGHTER LN
AUSTIN, TX 78748
(30.179215, -97.840794)",2803805,Routine Inspection
CVS/pharmacy #1430,78704,04/07/2015,93,"2101 S LAMAR BLVD Unit B
AUSTIN, TX 78704
(30.248277, -97.770494)",10431989,Routine Inspection
Cafe Josie,78703,09/25/2015,92,"1200 W 6TH ST Bldg B
AUSTIN, TX 78703
(30.272806, -97.757389)",10835078,Routine Inspection
COTA - Fairlanes Main Grand Stand,78617,10/20/2017,94,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.134236, -97.645076)",11229102,Routine Inspection
Bueno Mexican Market,78724,01/12/2018,76,"14300 FM 969 RD Unit D
AUSTIN, TX 78724
(30.247473, -97.583335)",11508599,Routine Inspection
Canyon Creek ,78726,08/26/2015,97,"10210 EMBER GLEN DR
AUSTIN, TX 78726
(30.436272, -97.824801)",2801190,Routine Inspection
Buckner Villas,78753,02/10/2016,95,"11110 TOM ADAMS DR
AUSTIN, TX 78753
(30.371763, -97.670245)",10510628,Routine Inspection
"Callaway House Austin, The",78705,09/01/2016,99,"505 W 22ND ST
AUSTIN, TX 78705
(30.285138, -97.743605)",10968230,Routine Inspection
Bouldin Creek Coffee House Cafe,78704,12/31/2015,79,"1900 S 1ST ST
AUSTIN, TX 78704
(30.246336, -97.756507)",10471615,Routine Inspection
Calvert Circle C,78749,11/20/2017,93,"5701 W SLAUGHTER LN Bunit 160
AUSTIN, TX 78749
(30.201062, -97.868485)",11670367,Routine Inspection
Burger King # 2171,78745,10/17/2017,96,"1001 E BEN WHITE BLVD EB
AUSTIN, TX 78745
(30.217061, -97.754516)",11428803,Routine Inspection
Bread Basket,78757,09/22/2015,83,"2213 JUSTIN LN
AUSTIN, TX 78757
(30.344978, -97.736664)",2804019,Routine Inspection
Brewingz on the Fly,78748,10/10/2017,86,"9900 S IH 35 SVRD SB Bunit 900
AUSTIN, TX 78748
(30.153976, -97.791688)",11658112,Routine Inspection
Boone Elementary,78749,08/26/2015,85,"8101 CROFTWOOD DR
AUSTIN, TX 78749
(30.20397, -97.840909)",2800267,Routine Inspection
Burger King,78741,08/07/2015,97,"3001 MONTOPOLIS DR
AUSTIN, TX 78741
(30.213678, -97.711329)",10840105,Routine Inspection
Bombay Express,78753,08/03/2016,92,"13000 N IH 35 SVRD SB Bunit 216
AUSTIN, TX 78753
(30.413439, -97.673972)",10001837,Routine Inspection
Cannon + Belle Restaurant,78701,07/21/2017,93,"500 E 4TH ST
AUSTIN, TX 78701
(30.264868, -97.738713)",11629151,Routine Inspection
Burger Fi,78749,06/15/2015,93,"5701 W SLAUGHTER LN Bunit 150
AUSTIN, TX 78749
(30.201062, -97.868485)",10985744,Routine Inspection
Burger Fi,78749,02/08/2016,79,"5701 W SLAUGHTER LN Bunit 150
AUSTIN, TX 78749
(30.201062, -97.868485)",10985744,Routine Inspection
Cain & Abel's,78705,10/25/2017,91,"2313 RIO GRANDE ST
AUSTIN, TX 78705
(30.287706, -97.744683)",2800382,Routine Inspection
Cafe No Se,78704,01/23/2018,86,"1603 S CONGRESS AVE
AUSTIN, TX 78704
(30.247579, -97.750428)",11389393,Routine Inspection
Burnet Food Mart,78756,08/10/2017,91,"5300 BURNET RD
AUSTIN, TX 78756
(30.326062, -97.739701)",2803497,Routine Inspection
C-Mart #7,78744,10/19/2015,94,"5200 E WILLIAM CANNON DR
AUSTIN, TX 78744
(30.180078, -97.747839)",10003415,Routine Inspection
C Mart #2,78745,12/02/2015,90,"7811 S 1ST ST
AUSTIN, TX 78745
(30.184315, -97.792325)",10609510,Routine Inspection
Bullfight,78751,02/07/2017,87,"4807 AIRPORT BLVD
AUSTIN, TX 78751
(30.308549, -97.71565)",11364206,Routine Inspection
Cafe Express,78705,09/01/2017,62,"3418 N LAMAR BLVD
AUSTIN, TX 78705
(30.303208, -97.744384)",11598722,Routine Inspection
Brookdale North Austin,78727,07/31/2015,79,"5310 DUVAL RD
AUSTIN, TX 78727
(30.418621, -97.744361)",2801892,Routine Inspection
CVS Pharmacy #0357,78754,12/02/2016,92,"1701 E PARMER LN
AUSTIN, TX 78754
(30.386557, -97.647948)",10006741,Routine Inspection
Burnet Express,78757,08/08/2017,80,"8400 BURNET RD
AUSTIN, TX 78757
(30.364906, -97.728545)",10608159,Routine Inspection
Canyon Ridge Middle School,78732,05/01/2017,97,"12601 COUNTRY TRAILS LN
AUSTIN, TX 78732
(30.366599, -97.902388)",2802219,Routine Inspection
Braker Shell Q Mart,78758,06/19/2015,100,"1316 W BRAKER LN
AUSTIN, TX 78758
(30.385918, -97.695211)",10080079,Routine Inspection
Cafe Blue III LLC,78701,05/02/2017,76,"340 E 2ND ST
AUSTIN, TX 78701
(30.263446, -97.741049)",11606337,Routine Inspection
Caffe Medici,78703,07/16/2015,95,"1101 WEST LYNN ST
AUSTIN, TX 78703
(30.27958, -97.759559)",10000619,Routine Inspection
Bombay Bistro,78704,05/27/2015,85,"4200 S LAMAR BLVD SB Bunit 300
AUSTIN, TX 78704
(30.235244, -97.794812)",10486254,Routine Inspection
Burkes Adult Supervised Living,78723,02/01/2018,97,"2612 WHELESS LN
AUSTIN, TX 78723
(30.309102, -97.680755)",2800223,Routine Inspection
COTA - Velocity,78617,10/20/2017,96,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.134236, -97.645076)",11228861,Routine Inspection
Buca di Beppo,78613,08/02/2017,85,"11200 LAKELINE MALL DR Unit F18
AUSTIN, TX 78613
(30.47181, -97.803451)",11073864,Routine Inspection
Caffe Medici,78705,07/20/2017,96,"2222 GUADALUPE ST
AUSTIN, TX 78705
(30.285565, -97.741801)",2800910,Routine Inspection
CVS Pharmacy #6822,78756,10/02/2015,100,"5256 BURNET RD
AUSTIN, TX 78756
(30.325508, -97.739668)",2804010,Routine Inspection
Caffe Medici,78703,03/17/2017,92,"1101 WEST LYNN ST
AUSTIN, TX 78703
(30.27958, -97.759559)",10000619,Routine Inspection
"Buzz Mill, The",78741,08/21/2015,95,"1505 TOWN CREEK DR
AUSTIN, TX 78741
(30.241829, -97.727141)",10835409,Routine Inspection
Burger King #1443,78703,09/26/2016,97,"3427 JEFFERSON ST
AUSTIN, TX 78703
(30.30728, -97.751912)",11428792,Routine Inspection
Buffalo Wild Wings #622,78745,08/31/2016,87,"901 LITTLE TEXAS LN Bldg D
AUSTIN, TX 78745
(30.198574, -97.768481)",11398820,Routine Inspection
Bridgepoint Cafe Catering,78730,11/18/2015,99,"5918 WEST COURTYARD DR
AUSTIN, TX 78730
(30.354597, -97.797338)",10238529,Routine Inspection
COTA - RS3 Turn 1,78617,10/20/2017,89,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.134236, -97.645076)",11229117,Routine Inspection
Cafe Creme,78741,02/22/2017,85,"1834 E OLTORF ST
AUSTIN, TX 78741
(30.231784, -97.736136)",11060354,Routine Inspection
Bread Basket,78745,06/02/2017,94,"8801 WEST GATE BLVD
AUSTIN, TX 78745
(30.19163, -97.832772)",10874948,Routine Inspection
Cafe Regents,78735,04/24/2017,96,"3230 TRAVIS COUNTRY CIR
AUSTIN, TX 78735
(30.255221, -97.844945)",10819658,Routine Inspection
CJC Snack Bar,78701,06/29/2015,94,"509 W 11TH ST
AUSTIN, TX 78701
(30.274242, -97.746495)",2802850,Routine Inspection
"Cake and Spoon Baking Co, The",78702,02/01/2017,96,"3008 GONZALES ST
AUSTIN, TX 78702
(30.259374, -97.707114)",10459759,Routine Inspection
Bowie High School,78749,12/10/2015,96,"4103 W SLAUGHTER LN
AUSTIN, TX 78749
(30.18914, -97.856886)",2800602,Routine Inspection
CVS/pharmacy #1430,78704,01/12/2018,99,"2101 S LAMAR BLVD Unit B
AUSTIN, TX 78704
(30.248277, -97.770494)",10431989,Routine Inspection
COTA - Pizza Hut Grand Plaza,78617,11/13/2016,96,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.134236, -97.645076)",11229109,Routine Inspection
CVS/Pharmacy  #7719,78757,06/08/2017,92,"2900 W ANDERSON LN
AUSTIN, TX 78757
(30.359579, -97.737925)",2804029,Routine Inspection
Burnet Express,78757,08/03/2015,93,"8400 BURNET RD
AUSTIN, TX 78757
(30.364906, -97.728545)",10608159,Routine Inspection
Bombay Bistro,78759,05/13/2015,93,"10710 RESEARCH BLVD SB
AUSTIN, TX 78759
(30.398661, -97.746468)",2802649,1st Follow Up to Routine of 50 - 69
Caffe Macs Riata Vista 2,78727,10/26/2015,93,"12545 RIATA VISTA CIR
AUSTIN, TX 78727
(30.430659, -97.734852)",2802381,Routine Inspection
COTA - Velocity,78617,04/21/2017,92,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.134236, -97.645076)",11228861,Routine Inspection
Bombay Bistro,78759,11/07/2017,85,"10710 RESEARCH BLVD SB
AUSTIN, TX 78759
(30.398661, -97.746468)",2802649,Routine Inspection
Bon Appetit - Ragsdale,78704,03/02/2017,95,"3001 S CONGRESS AVE
AUSTIN, TX 78704
(30.231903, -97.758818)",10054970,Routine Inspection
Bon Appetit @ 7700 Parmer,78729,10/08/2015,86,"7700 PARMER LN
AUSTIN, TX 78729
(30.456746, -97.752946)",11286955,Routine Inspection
COTA - Pizza Hut Main Grand Stand,78617,10/20/2017,94,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.134236, -97.645076)",11229113,Routine Inspection
CVS Pharmacy # 7243,78746,07/19/2017,99,"3201 BEE CAVES RD
AUSTIN, TX 78746
(30.273599, -97.799243)",2804061,Routine Inspection
Bread Basket,78745,12/05/2017,92,"8801 WEST GATE BLVD
AUSTIN, TX 78745
(30.19163, -97.832772)",10874948,Routine Inspection
Bush's Chicken,78748,06/09/2015,75,"9815 BRODIE LN
AUSTIN, TX 78748
(30.185926, -97.848213)",10642547,Routine Inspection
Bread Basket,78745,04/22/2016,94,"8801 WEST GATE BLVD
AUSTIN, TX 78745
(30.19163, -97.832772)",10874948,Routine Inspection
Bouldin Creek Coffee House Cafe,78704,03/16/2017,92,"1900 S 1ST ST
AUSTIN, TX 78704
(30.246336, -97.756507)",10471615,Routine Inspection
Brooklyn Heights Pizzeria,78717,03/24/2016,80,"14900 AVERY RANCH BLVD
AUSTIN, TX 78717
(30.497655, -97.777084)",10101590,Routine Inspection
Brookdale Spicewood Springs,78759,07/07/2017,96,"4401 SPICEWOOD SPRINGS RD
AUSTIN, TX 78759
(30.373836, -97.759023)",11207395,Routine Inspection
Bon Appetit- The Huddle @ St. Edward's,78704,10/07/2016,100,"3001 S CONGRESS AVE
AUSTIN, TX 78704
(30.231903, -97.758818)",10231529,Routine Inspection
Bowie H.S. Culinary Kitchen,78749,12/10/2015,95,"4103 W SLAUGHTER LN
AUSTIN, TX 78749
(30.18914, -97.856886)",2803191,Routine Inspection
Burger King # 9100,78759,05/16/2017,94,"3906 W BRAKER LN
AUSTIN, TX 78759
(30.396602, -97.734256)",11428793,Routine Inspection
"Buzz Mill, The",78741,01/25/2017,86,"1505 TOWN CREEK DR
AUSTIN, TX 78741
(30.241829, -97.727141)",10835409,Routine Inspection
Cabo Bob's Burritos,78705,08/16/2016,95,"2828 RIO GRANDE ST
AUSTIN, TX 78705
(30.295689, -97.743901)",11026344,Routine Inspection
CVS/Pharmacy #8322,78750,03/17/2016,98,"11725 N FM 620 RD
AUSTIN, TX 78750
(30.457695, -97.823436)",2804049,Routine Inspection
Brick Oven Restaurant,78759,10/11/2017,84,"10710 RESEARCH BLVD SB Unit 310
AUSTIN, TX 78759
(30.398661, -97.746468)",2800033,Routine Inspection
Brooklyn Pie Co.,78748,06/05/2017,95,"9500 S IH 35 SVRD SB Bunit 300
AUSTIN, TX 78748
(30.162128, -97.789134)",10997742,Routine Inspection
Bucket's Deli & Sports Bar,78702,06/10/2015,94,"2020 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.256475, -97.722799)",10111403,Routine Inspection
Bryker Woods Elementary,78703,11/13/2017,100,"3309 KERBEY LN
AUSTIN, TX 78703
(30.305365, -97.751457)",2800206,Routine Inspection
CVS Pharmacy #6964,78703,01/25/2016,96,"2610 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.281884, -97.77588)",2804016,Routine Inspection
Burger King #7306,78745,02/14/2017,95,"700 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.197331, -97.78807)",11428812,Routine Inspection
Caffe Aragon,78701,09/24/2015,97,"914 CONGRESS AVE
AUSTIN, TX 78701
(30.271396, -97.741565)",10864948,Routine Inspection
Cabo Bob's,78704,10/27/2016,92,"500 E BEN WHITE BLVD WB Bldg D
AUSTIN, TX 78704
(30.220081, -97.757534)",10117231,Routine Inspection
C- Mart,78731,05/17/2017,90,"7007 VILLAGE CENTER DR
AUSTIN, TX 78731
(30.352205, -97.756628)",2803802,Routine Inspection
Canary Roost,78758,08/05/2016,94,"11900 METRIC BLVD Unit D
AUSTIN, TX 78758
(30.400055, -97.703406)",2802031,Routine Inspection
California Pizza Kitchen ,78758,03/08/2016,92,"3401 ESPERANZA XING
AUSTIN, TX 78758
(30.400612, -97.726912)",10005841,Routine Inspection
Buddy's Mexican Grill,78754,08/18/2017,80,"9001 CAMERON RD Bunit 201
AUSTIN, TX 78754
(30.346501, -97.67724)",11626981,Routine Inspection
CVS/Pharmacy #7210,78745,05/12/2016,100,"1901 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.202651, -97.805566)",2804018,Routine Inspection
Buenos Aires Cafe,78702,12/01/2015,91,"1201 E 6TH ST
AUSTIN, TX 78702
(30.264356, -97.730372)",10187892,Routine Inspection
CJC Snack Bar,78701,05/12/2017,100,"509 W 11TH ST
AUSTIN, TX 78701
(30.274242, -97.746495)",2802850,Routine Inspection
Bon Appetit - Ragsdale,78704,10/06/2016,95,"3001 S CONGRESS AVE
AUSTIN, TX 78704
(30.231903, -97.758818)",10054970,Routine Inspection
CVS Pharmacy #6964,78703,06/02/2016,100,"2610 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.281884, -97.77588)",2804016,Routine Inspection
Bungalow,78701,04/02/2015,83,"92 RAINEY ST
AUSTIN, TX 78701
(30.260455, -97.738167)",10810753,Routine Inspection
